Número interno de finca MOVE;Región/ Zona o cooperativa;Técnico a cargo;Nombre productor;Municipio;Departamento
5593;XXXX;XXX;FADFBA;XXX;XX
5594;XXXX;YYY;FDSBSDF;XXX;XX
5595;XXXX;KKK;DFGN;XXX;XX
5596;XXXX;ÑÑÑ;SNBGS;XXX;XX
5597;XXXX;PPP;XXX;XXX;XX
5598;XXXX;QQQ;FADFBA;XXX;XX
5599;XXXX;XXX;FDSBSDF;XXX;XX
5600;XXXX;YYY;DFGN;XXX;XX
5601;XXXX;KKK;SNBGS;XXX;XX
5602;XXXX;ÑÑÑ;XXX;XXX;XX
5603;XXXX;PPP;FADFBA;XXX;XX
5604;XXXX;QQQ;FDSBSDF;XXX;XX
5605;XXXX;XXX;DFGN;XXX;XX
5606;XXXX;YYY;SNBGS;XXX;XX
5607;XXXX;KKK;XXX;XXX;XX
5609;XXXX;ÑÑÑ;FADFBA;XXX;XX
5610;XXXX;PPP;FDSBSDF;XXX;XX
5611;XXXX;QQQ;DFGN;XXX;XX
5612;XXXX;XXX;SNBGS;XXX;XX
5613;XXXX;YYY;XXX;XXX;XX
5614;XXXX;KKK;FADFBA;XXX;XX
5692;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
5693;XXXX;PPP;DFGN;XXX;XX
5695;XXXX;QQQ;SNBGS;XXX;XX
5696;XXXX;XXX;XXX;XXX;XX
5697;XXXX;YYY;FADFBA;XXX;XX
5698;XXXX;KKK;FDSBSDF;XXX;XX
5699;XXXX;ÑÑÑ;DFGN;XXX;XX
5700;XXXX;PPP;SNBGS;XXX;XX
5702;XXXX;QQQ;XXX;XXX;XX
5703;XXXX;XXX;FADFBA;XXX;XX
5705;XXXX;YYY;FDSBSDF;XXX;XX
5706;XXXX;KKK;DFGN;XXX;XX
5707;XXXX;ÑÑÑ;SNBGS;XXX;XX
5708;XXXX;PPP;XXX;XXX;XX
5709;XXXX;QQQ;FADFBA;XXX;XX
5710;XXXX;XXX;FDSBSDF;XXX;XX
5711;XXXX;YYY;DFGN;XXX;XX
5716;XXXX;KKK;SNBGS;XXX;XX
5717;XXXX;ÑÑÑ;XXX;XXX;XX
5718;XXXX;PPP;FADFBA;XXX;XX
5719;XXXX;QQQ;FDSBSDF;XXX;XX
5720;XXXX;XXX;DFGN;XXX;XX
5721;XXXX;YYY;SNBGS;XXX;XX
5723;XXXX;KKK;XXX;XXX;XX
5726;XXXX;ÑÑÑ;FADFBA;XXX;XX
5727;XXXX;PPP;FDSBSDF;XXX;XX
5728;XXXX;QQQ;DFGN;XXX;XX
5731;XXXX;XXX;SNBGS;XXX;XX
5732;XXXX;YYY;XXX;XXX;XX
5733;XXXX;KKK;FADFBA;XXX;XX
5734;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
5735;XXXX;PPP;DFGN;XXX;XX
5736;XXXX;QQQ;SNBGS;XXX;XX
5737;XXXX;XXX;XXX;XXX;XX
5739;XXXX;YYY;FADFBA;XXX;XX
5743;XXXX;KKK;FDSBSDF;XXX;XX
5746;XXXX;ÑÑÑ;DFGN;XXX;XX
5749;XXXX;PPP;SNBGS;XXX;XX
5750;XXXX;QQQ;XXX;XXX;XX
5752;XXXX;XXX;FADFBA;XXX;XX
5753;XXXX;YYY;FDSBSDF;XXX;XX
5754;XXXX;KKK;DFGN;XXX;XX
5755;XXXX;ÑÑÑ;SNBGS;XXX;XX
5756;XXXX;PPP;XXX;XXX;XX
5758;XXXX;QQQ;FADFBA;XXX;XX
5759;XXXX;XXX;FDSBSDF;XXX;XX
5761;XXXX;YYY;DFGN;XXX;XX
5762;XXXX;KKK;SNBGS;XXX;XX
5763;XXXX;ÑÑÑ;XXX;XXX;XX
5764;XXXX;PPP;FADFBA;XXX;XX
5765;XXXX;QQQ;FDSBSDF;XXX;XX
5766;XXXX;XXX;DFGN;XXX;XX
5767;XXXX;YYY;SNBGS;XXX;XX
5768;XXXX;KKK;XXX;XXX;XX
5772;XXXX;ÑÑÑ;FADFBA;XXX;XX
5773;XXXX;PPP;FDSBSDF;XXX;XX
5774;XXXX;QQQ;DFGN;XXX;XX
5778;XXXX;XXX;SNBGS;XXX;XX
5779;XXXX;YYY;XXX;XXX;XX
5780;XXXX;KKK;FADFBA;XXX;XX
5784;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
5785;XXXX;PPP;DFGN;XXX;XX
5787;XXXX;QQQ;SNBGS;XXX;XX
5788;XXXX;XXX;XXX;XXX;XX
5789;XXXX;YYY;FADFBA;XXX;XX
5790;XXXX;KKK;FDSBSDF;XXX;XX
5791;XXXX;ÑÑÑ;DFGN;XXX;XX
5794;XXXX;PPP;SNBGS;XXX;XX
5795;XXXX;QQQ;XXX;XXX;XX
5798;XXXX;XXX;FADFBA;XXX;XX
5799;XXXX;YYY;FDSBSDF;XXX;XX
5800;XXXX;KKK;DFGN;XXX;XX
5801;XXXX;ÑÑÑ;SNBGS;XXX;XX
5802;XXXX;PPP;XXX;XXX;XX
5803;XXXX;QQQ;FADFBA;XXX;XX
5804;XXXX;XXX;FDSBSDF;XXX;XX
5805;XXXX;YYY;DFGN;XXX;XX
5806;XXXX;KKK;SNBGS;XXX;XX
5807;XXXX;ÑÑÑ;XXX;XXX;XX
5810;XXXX;PPP;FADFBA;XXX;XX
5813;XXXX;QQQ;FDSBSDF;XXX;XX
5819;XXXX;XXX;DFGN;XXX;XX
5820;XXXX;YYY;SNBGS;XXX;XX
5827;XXXX;KKK;XXX;XXX;XX
5828;XXXX;ÑÑÑ;FADFBA;XXX;XX
5829;XXXX;PPP;FDSBSDF;XXX;XX
5831;XXXX;QQQ;DFGN;XXX;XX
5832;XXXX;XXX;SNBGS;XXX;XX
5833;XXXX;YYY;XXX;XXX;XX
5834;XXXX;KKK;FADFBA;XXX;XX
5835;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
5836;XXXX;PPP;DFGN;XXX;XX
5837;XXXX;QQQ;SNBGS;XXX;XX
5839;XXXX;XXX;XXX;XXX;XX
5840;XXXX;YYY;FADFBA;XXX;XX
5841;XXXX;KKK;FDSBSDF;XXX;XX
5843;XXXX;ÑÑÑ;DFGN;XXX;XX
5844;XXXX;PPP;SNBGS;XXX;XX
5845;XXXX;QQQ;XXX;XXX;XX
5848;XXXX;XXX;FADFBA;XXX;XX
5849;XXXX;YYY;FDSBSDF;XXX;XX
5850;XXXX;KKK;DFGN;XXX;XX
5851;XXXX;ÑÑÑ;SNBGS;XXX;XX
5852;XXXX;PPP;XXX;XXX;XX
5853;XXXX;QQQ;FADFBA;XXX;XX
5854;XXXX;XXX;FDSBSDF;XXX;XX
5855;XXXX;YYY;DFGN;XXX;XX
5856;XXXX;KKK;SNBGS;XXX;XX
5857;XXXX;ÑÑÑ;XXX;XXX;XX
5859;XXXX;PPP;FADFBA;XXX;XX
5861;XXXX;QQQ;FDSBSDF;XXX;XX
5863;XXXX;XXX;DFGN;XXX;XX
5868;XXXX;YYY;SNBGS;XXX;XX
5869;XXXX;KKK;XXX;XXX;XX
5874;XXXX;ÑÑÑ;FADFBA;XXX;XX
5875;XXXX;PPP;FDSBSDF;XXX;XX
5876;XXXX;QQQ;DFGN;XXX;XX
5877;XXXX;XXX;SNBGS;XXX;XX
5878;XXXX;YYY;XXX;XXX;XX
5879;XXXX;KKK;FADFBA;XXX;XX
5880;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
5881;XXXX;PPP;DFGN;XXX;XX
5882;XXXX;QQQ;SNBGS;XXX;XX
5883;XXXX;XXX;XXX;XXX;XX
5884;XXXX;YYY;FADFBA;XXX;XX
5885;XXXX;KKK;FDSBSDF;XXX;XX
5886;XXXX;ÑÑÑ;DFGN;XXX;XX
5887;XXXX;PPP;SNBGS;XXX;XX
5888;XXXX;QQQ;XXX;XXX;XX
5889;XXXX;XXX;FADFBA;XXX;XX
5890;XXXX;YYY;FDSBSDF;XXX;XX
5892;XXXX;KKK;DFGN;XXX;XX
5893;XXXX;ÑÑÑ;SNBGS;XXX;XX
5894;XXXX;PPP;XXX;XXX;XX
5896;XXXX;QQQ;FADFBA;XXX;XX
5898;XXXX;XXX;FDSBSDF;XXX;XX
5899;XXXX;YYY;DFGN;XXX;XX
5900;XXXX;KKK;SNBGS;XXX;XX
5901;XXXX;ÑÑÑ;XXX;XXX;XX
5902;XXXX;PPP;FADFBA;XXX;XX
5903;XXXX;QQQ;FDSBSDF;XXX;XX
5904;XXXX;XXX;DFGN;XXX;XX
5906;XXXX;YYY;SNBGS;XXX;XX
5907;XXXX;KKK;XXX;XXX;XX
5909;XXXX;ÑÑÑ;FADFBA;XXX;XX
5916;XXXX;PPP;FDSBSDF;XXX;XX
5917;XXXX;QQQ;DFGN;XXX;XX
5918;XXXX;XXX;SNBGS;XXX;XX
5919;XXXX;YYY;XXX;XXX;XX
5923;XXXX;KKK;FADFBA;XXX;XX
5924;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
5926;XXXX;PPP;DFGN;XXX;XX
5930;XXXX;QQQ;SNBGS;XXX;XX
5931;XXXX;XXX;XXX;XXX;XX
5936;XXXX;YYY;FADFBA;XXX;XX
5937;XXXX;KKK;FDSBSDF;XXX;XX
5938;XXXX;ÑÑÑ;DFGN;XXX;XX
5939;XXXX;PPP;SNBGS;XXX;XX
5941;XXXX;QQQ;XXX;XXX;XX
5942;XXXX;XXX;FADFBA;XXX;XX
5944;XXXX;YYY;FDSBSDF;XXX;XX
5945;XXXX;KKK;DFGN;XXX;XX
5946;XXXX;ÑÑÑ;SNBGS;XXX;XX
5947;XXXX;PPP;XXX;XXX;XX
5948;XXXX;QQQ;FADFBA;XXX;XX
5949;XXXX;XXX;FDSBSDF;XXX;XX
5950;XXXX;YYY;DFGN;XXX;XX
5951;XXXX;KKK;SNBGS;XXX;XX
5952;XXXX;ÑÑÑ;XXX;XXX;XX
5953;XXXX;PPP;FADFBA;XXX;XX
5954;XXXX;QQQ;FDSBSDF;XXX;XX
5957;XXXX;XXX;DFGN;XXX;XX
5958;XXXX;YYY;SNBGS;XXX;XX
5960;XXXX;KKK;XXX;XXX;XX
5961;XXXX;ÑÑÑ;FADFBA;XXX;XX
5962;XXXX;PPP;FDSBSDF;XXX;XX
5963;XXXX;QQQ;DFGN;XXX;XX
5964;XXXX;XXX;SNBGS;XXX;XX
5965;XXXX;YYY;XXX;XXX;XX
5967;XXXX;KKK;FADFBA;XXX;XX
5968;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
5970;XXXX;PPP;DFGN;XXX;XX
5971;XXXX;QQQ;SNBGS;XXX;XX
5972;XXXX;XXX;XXX;XXX;XX
5973;XXXX;YYY;FADFBA;XXX;XX
5974;XXXX;KKK;FDSBSDF;XXX;XX
5977;XXXX;ÑÑÑ;DFGN;XXX;XX
5981;XXXX;PPP;SNBGS;XXX;XX
5982;XXXX;QQQ;XXX;XXX;XX
5984;XXXX;XXX;FADFBA;XXX;XX
5985;XXXX;YYY;FDSBSDF;XXX;XX
5987;XXXX;KKK;DFGN;XXX;XX
5989;XXXX;ÑÑÑ;SNBGS;XXX;XX
5990;XXXX;PPP;XXX;XXX;XX
5991;XXXX;QQQ;FADFBA;XXX;XX
5992;XXXX;XXX;FDSBSDF;XXX;XX
5993;XXXX;YYY;DFGN;XXX;XX
5995;XXXX;KKK;SNBGS;XXX;XX
5996;XXXX;ÑÑÑ;XXX;XXX;XX
5997;XXXX;PPP;FADFBA;XXX;XX
5998;XXXX;QQQ;FDSBSDF;XXX;XX
5999;XXXX;XXX;DFGN;XXX;XX
6002;XXXX;YYY;SNBGS;XXX;XX
6003;XXXX;KKK;XXX;XXX;XX
6005;XXXX;ÑÑÑ;FADFBA;XXX;XX
6006;XXXX;PPP;FDSBSDF;XXX;XX
6007;XXXX;QQQ;DFGN;XXX;XX
6008;XXXX;XXX;SNBGS;XXX;XX
6009;XXXX;YYY;XXX;XXX;XX
6010;XXXX;KKK;FADFBA;XXX;XX
6011;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
6012;XXXX;PPP;DFGN;XXX;XX
6013;XXXX;QQQ;SNBGS;XXX;XX
6014;XXXX;XXX;XXX;XXX;XX
6015;XXXX;YYY;FADFBA;XXX;XX
6016;XXXX;KKK;FDSBSDF;XXX;XX
6017;XXXX;ÑÑÑ;DFGN;XXX;XX
6018;XXXX;PPP;SNBGS;XXX;XX
6019;XXXX;QQQ;XXX;XXX;XX
6021;XXXX;XXX;FADFBA;XXX;XX
6024;XXXX;YYY;FDSBSDF;XXX;XX
6026;XXXX;KKK;DFGN;XXX;XX
6028;XXXX;ÑÑÑ;SNBGS;XXX;XX
6030;XXXX;PPP;XXX;XXX;XX
6031;XXXX;QQQ;FADFBA;XXX;XX
6039;XXXX;XXX;FDSBSDF;XXX;XX
6040;XXXX;YYY;DFGN;XXX;XX
6041;XXXX;KKK;SNBGS;XXX;XX
6042;XXXX;ÑÑÑ;XXX;XXX;XX
6043;XXXX;PPP;FADFBA;XXX;XX
6045;XXXX;QQQ;FDSBSDF;XXX;XX
6046;XXXX;XXX;DFGN;XXX;XX
6047;XXXX;YYY;SNBGS;XXX;XX
6048;XXXX;KKK;XXX;XXX;XX
6049;XXXX;ÑÑÑ;FADFBA;XXX;XX
6051;XXXX;PPP;FDSBSDF;XXX;XX
6052;XXXX;QQQ;DFGN;XXX;XX
6053;XXXX;XXX;SNBGS;XXX;XX
6054;XXXX;YYY;XXX;XXX;XX
6055;XXXX;KKK;FADFBA;XXX;XX
6057;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
6058;XXXX;PPP;DFGN;XXX;XX
6059;XXXX;QQQ;SNBGS;XXX;XX
6060;XXXX;XXX;XXX;XXX;XX
6062;XXXX;YYY;FADFBA;XXX;XX
6063;XXXX;KKK;FDSBSDF;XXX;XX
6064;XXXX;ÑÑÑ;DFGN;XXX;XX
6065;XXXX;PPP;SNBGS;XXX;XX
6066;XXXX;QQQ;XXX;XXX;XX
6067;XXXX;XXX;FADFBA;XXX;XX
6068;XXXX;YYY;FDSBSDF;XXX;XX
6069;XXXX;KKK;DFGN;XXX;XX
6070;XXXX;ÑÑÑ;SNBGS;XXX;XX
6071;XXXX;PPP;XXX;XXX;XX
6072;XXXX;QQQ;FADFBA;XXX;XX
6073;XXXX;XXX;FDSBSDF;XXX;XX
6074;XXXX;YYY;DFGN;XXX;XX
6075;XXXX;KKK;SNBGS;XXX;XX
6079;XXXX;ÑÑÑ;XXX;XXX;XX
6080;XXXX;PPP;FADFBA;XXX;XX
6083;XXXX;QQQ;FDSBSDF;XXX;XX
6085;XXXX;XXX;DFGN;XXX;XX
6086;XXXX;YYY;SNBGS;XXX;XX
6087;XXXX;KKK;XXX;XXX;XX
6088;XXXX;ÑÑÑ;FADFBA;XXX;XX
6089;XXXX;PPP;FDSBSDF;XXX;XX
6091;XXXX;QQQ;DFGN;XXX;XX
6097;XXXX;XXX;SNBGS;XXX;XX
6099;XXXX;YYY;XXX;XXX;XX
6100;XXXX;KKK;FADFBA;XXX;XX
6101;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
6102;XXXX;PPP;DFGN;XXX;XX
6107;XXXX;QQQ;SNBGS;XXX;XX
6109;XXXX;XXX;XXX;XXX;XX
6110;XXXX;YYY;FADFBA;XXX;XX
6113;XXXX;KKK;FDSBSDF;XXX;XX
6114;XXXX;ÑÑÑ;DFGN;XXX;XX
6118;XXXX;PPP;SNBGS;XXX;XX
6122;XXXX;QQQ;XXX;XXX;XX
6126;XXXX;XXX;FADFBA;XXX;XX
6127;XXXX;YYY;FDSBSDF;XXX;XX
6128;XXXX;KKK;DFGN;XXX;XX
6129;XXXX;ÑÑÑ;SNBGS;XXX;XX
6131;XXXX;PPP;XXX;XXX;XX
6132;XXXX;QQQ;FADFBA;XXX;XX
6136;XXXX;XXX;FDSBSDF;XXX;XX
6138;XXXX;YYY;DFGN;XXX;XX
6139;XXXX;KKK;SNBGS;XXX;XX
6140;XXXX;ÑÑÑ;XXX;XXX;XX
6143;XXXX;PPP;FADFBA;XXX;XX
6148;XXXX;QQQ;FDSBSDF;XXX;XX
6150;XXXX;XXX;DFGN;XXX;XX
6151;XXXX;YYY;SNBGS;XXX;XX
6152;XXXX;KKK;XXX;XXX;XX
6154;XXXX;ÑÑÑ;FADFBA;XXX;XX
6155;XXXX;PPP;FDSBSDF;XXX;XX
6157;XXXX;QQQ;DFGN;XXX;XX
6158;XXXX;XXX;SNBGS;XXX;XX
6162;XXXX;YYY;XXX;XXX;XX
6164;XXXX;KKK;FADFBA;XXX;XX
6165;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
6166;XXXX;PPP;DFGN;XXX;XX
6167;XXXX;QQQ;SNBGS;XXX;XX
6168;XXXX;XXX;XXX;XXX;XX
6169;XXXX;YYY;FADFBA;XXX;XX
6170;XXXX;KKK;FDSBSDF;XXX;XX
6171;XXXX;ÑÑÑ;DFGN;XXX;XX
6172;XXXX;PPP;SNBGS;XXX;XX
6173;XXXX;QQQ;XXX;XXX;XX
6177;XXXX;XXX;FADFBA;XXX;XX
6178;XXXX;YYY;FDSBSDF;XXX;XX
6180;XXXX;KKK;DFGN;XXX;XX
6181;XXXX;ÑÑÑ;SNBGS;XXX;XX
6184;XXXX;PPP;XXX;XXX;XX
6185;XXXX;QQQ;FADFBA;XXX;XX
6186;XXXX;XXX;FDSBSDF;XXX;XX
6187;XXXX;YYY;DFGN;XXX;XX
6188;XXXX;KKK;SNBGS;XXX;XX
6189;XXXX;ÑÑÑ;XXX;XXX;XX
6190;XXXX;PPP;FADFBA;XXX;XX
6191;XXXX;QQQ;FDSBSDF;XXX;XX
6192;XXXX;XXX;DFGN;XXX;XX
6193;XXXX;YYY;SNBGS;XXX;XX
6194;XXXX;KKK;XXX;XXX;XX
6195;XXXX;ÑÑÑ;FADFBA;XXX;XX
6196;XXXX;PPP;FDSBSDF;XXX;XX
6197;XXXX;QQQ;DFGN;XXX;XX
6198;XXXX;XXX;SNBGS;XXX;XX
6199;XXXX;YYY;XXX;XXX;XX
6200;XXXX;KKK;FADFBA;XXX;XX
6201;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
6203;XXXX;PPP;DFGN;XXX;XX
6204;XXXX;QQQ;SNBGS;XXX;XX
6212;XXXX;XXX;XXX;XXX;XX
6214;XXXX;YYY;FADFBA;XXX;XX
6216;XXXX;KKK;FDSBSDF;XXX;XX
6218;XXXX;ÑÑÑ;DFGN;XXX;XX
6219;XXXX;PPP;SNBGS;XXX;XX
6220;XXXX;QQQ;XXX;XXX;XX
6221;XXXX;XXX;FADFBA;XXX;XX
6222;XXXX;YYY;FDSBSDF;XXX;XX
6238;XXXX;KKK;DFGN;XXX;XX
6239;XXXX;ÑÑÑ;SNBGS;XXX;XX
6240;XXXX;PPP;XXX;XXX;XX
6242;XXXX;QQQ;FADFBA;XXX;XX
6244;XXXX;XXX;FDSBSDF;XXX;XX
6245;XXXX;YYY;DFGN;XXX;XX
6247;XXXX;KKK;SNBGS;XXX;XX
6251;XXXX;ÑÑÑ;XXX;XXX;XX
6252;XXXX;PPP;FADFBA;XXX;XX
6272;XXXX;QQQ;FDSBSDF;XXX;XX
6273;XXXX;XXX;DFGN;XXX;XX
6274;XXXX;YYY;SNBGS;XXX;XX
6275;XXXX;KKK;XXX;XXX;XX
6277;XXXX;ÑÑÑ;FADFBA;XXX;XX
6278;XXXX;PPP;FDSBSDF;XXX;XX
6279;XXXX;QQQ;DFGN;XXX;XX
6280;XXXX;XXX;SNBGS;XXX;XX
6281;XXXX;YYY;XXX;XXX;XX
6285;XXXX;KKK;FADFBA;XXX;XX
6286;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
6287;XXXX;PPP;DFGN;XXX;XX
6288;XXXX;QQQ;SNBGS;XXX;XX
6289;XXXX;XXX;XXX;XXX;XX
6291;XXXX;YYY;FADFBA;XXX;XX
6293;XXXX;KKK;FDSBSDF;XXX;XX
6321;XXXX;ÑÑÑ;DFGN;XXX;XX
6322;XXXX;PPP;SNBGS;XXX;XX
6323;XXXX;QQQ;XXX;XXX;XX
6324;XXXX;XXX;FADFBA;XXX;XX
6325;XXXX;YYY;FDSBSDF;XXX;XX
6326;XXXX;KKK;DFGN;XXX;XX
6327;XXXX;ÑÑÑ;SNBGS;XXX;XX
6328;XXXX;PPP;XXX;XXX;XX
6329;XXXX;QQQ;FADFBA;XXX;XX
6330;XXXX;XXX;FDSBSDF;XXX;XX
6331;XXXX;YYY;DFGN;XXX;XX
6332;XXXX;KKK;SNBGS;XXX;XX
6333;XXXX;ÑÑÑ;XXX;XXX;XX
6334;XXXX;PPP;FADFBA;XXX;XX
6335;XXXX;QQQ;FDSBSDF;XXX;XX
6337;XXXX;XXX;DFGN;XXX;XX
6338;XXXX;YYY;SNBGS;XXX;XX
6340;XXXX;KKK;XXX;XXX;XX
6341;XXXX;ÑÑÑ;FADFBA;XXX;XX
6342;XXXX;PPP;FDSBSDF;XXX;XX
6343;XXXX;QQQ;DFGN;XXX;XX
6345;XXXX;XXX;SNBGS;XXX;XX
6346;XXXX;YYY;XXX;XXX;XX
6347;XXXX;KKK;FADFBA;XXX;XX
6348;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
6349;XXXX;PPP;DFGN;XXX;XX
6353;XXXX;QQQ;SNBGS;XXX;XX
6355;XXXX;XXX;XXX;XXX;XX
6356;XXXX;YYY;FADFBA;XXX;XX
6357;XXXX;KKK;FDSBSDF;XXX;XX
6360;XXXX;ÑÑÑ;DFGN;XXX;XX
6361;XXXX;PPP;SNBGS;XXX;XX
6362;XXXX;QQQ;XXX;XXX;XX
6363;XXXX;XXX;FADFBA;XXX;XX
6368;XXXX;YYY;FDSBSDF;XXX;XX
6369;XXXX;KKK;DFGN;XXX;XX
6370;XXXX;ÑÑÑ;SNBGS;XXX;XX
6371;XXXX;PPP;XXX;XXX;XX
6375;XXXX;QQQ;FADFBA;XXX;XX
6376;XXXX;XXX;FDSBSDF;XXX;XX
6377;XXXX;YYY;DFGN;XXX;XX
6378;XXXX;KKK;SNBGS;XXX;XX
6379;XXXX;ÑÑÑ;XXX;XXX;XX
6380;XXXX;PPP;FADFBA;XXX;XX
6381;XXXX;QQQ;FDSBSDF;XXX;XX
6382;XXXX;XXX;DFGN;XXX;XX
6383;XXXX;YYY;SNBGS;XXX;XX
6385;XXXX;KKK;XXX;XXX;XX
6388;XXXX;ÑÑÑ;FADFBA;XXX;XX
6392;XXXX;PPP;FDSBSDF;XXX;XX
6393;XXXX;QQQ;DFGN;XXX;XX
6395;XXXX;XXX;SNBGS;XXX;XX
6396;XXXX;YYY;XXX;XXX;XX
6399;XXXX;KKK;FADFBA;XXX;XX
6400;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
6401;XXXX;PPP;DFGN;XXX;XX
6402;XXXX;QQQ;SNBGS;XXX;XX
6403;XXXX;XXX;XXX;XXX;XX
6406;XXXX;YYY;FADFBA;XXX;XX
6407;XXXX;KKK;FDSBSDF;XXX;XX
6410;XXXX;ÑÑÑ;DFGN;XXX;XX
6411;XXXX;PPP;SNBGS;XXX;XX
6412;XXXX;QQQ;XXX;XXX;XX
6413;XXXX;XXX;FADFBA;XXX;XX
6415;XXXX;YYY;FDSBSDF;XXX;XX
6416;XXXX;KKK;DFGN;XXX;XX
6417;XXXX;ÑÑÑ;SNBGS;XXX;XX
6418;XXXX;PPP;XXX;XXX;XX
6424;XXXX;QQQ;FADFBA;XXX;XX
6425;XXXX;XXX;FDSBSDF;XXX;XX
6426;XXXX;YYY;DFGN;XXX;XX
6427;XXXX;KKK;SNBGS;XXX;XX
6428;XXXX;ÑÑÑ;XXX;XXX;XX
6429;XXXX;PPP;FADFBA;XXX;XX
6430;XXXX;QQQ;FDSBSDF;XXX;XX
6431;XXXX;XXX;DFGN;XXX;XX
6432;XXXX;YYY;SNBGS;XXX;XX
6433;XXXX;KKK;XXX;XXX;XX
6434;XXXX;ÑÑÑ;FADFBA;XXX;XX
6435;XXXX;PPP;FDSBSDF;XXX;XX
6436;XXXX;QQQ;DFGN;XXX;XX
6437;XXXX;XXX;SNBGS;XXX;XX
6438;XXXX;YYY;XXX;XXX;XX
6439;XXXX;KKK;FADFBA;XXX;XX
6440;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
6441;XXXX;PPP;DFGN;XXX;XX
6442;XXXX;QQQ;SNBGS;XXX;XX
6444;XXXX;XXX;XXX;XXX;XX
6445;XXXX;YYY;FADFBA;XXX;XX
6448;XXXX;KKK;FDSBSDF;XXX;XX
6449;XXXX;ÑÑÑ;DFGN;XXX;XX
6450;XXXX;PPP;SNBGS;XXX;XX
6451;XXXX;QQQ;XXX;XXX;XX
6455;XXXX;XXX;FADFBA;XXX;XX
6456;XXXX;YYY;FDSBSDF;XXX;XX
6457;XXXX;KKK;DFGN;XXX;XX
6458;XXXX;ÑÑÑ;SNBGS;XXX;XX
6460;XXXX;PPP;XXX;XXX;XX
6461;XXXX;QQQ;FADFBA;XXX;XX
6462;XXXX;XXX;FDSBSDF;XXX;XX
6463;XXXX;YYY;DFGN;XXX;XX
6465;XXXX;KKK;SNBGS;XXX;XX
6466;XXXX;ÑÑÑ;XXX;XXX;XX
6467;XXXX;PPP;FADFBA;XXX;XX
6468;XXXX;QQQ;FDSBSDF;XXX;XX
6471;XXXX;XXX;DFGN;XXX;XX
6472;XXXX;YYY;SNBGS;XXX;XX
6473;XXXX;KKK;XXX;XXX;XX
6477;XXXX;ÑÑÑ;FADFBA;XXX;XX
6478;XXXX;PPP;FDSBSDF;XXX;XX
6479;XXXX;QQQ;DFGN;XXX;XX
6480;XXXX;XXX;SNBGS;XXX;XX
6486;XXXX;YYY;XXX;XXX;XX
6487;XXXX;KKK;FADFBA;XXX;XX
6489;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
6490;XXXX;PPP;DFGN;XXX;XX
6491;XXXX;QQQ;SNBGS;XXX;XX
6492;XXXX;XXX;XXX;XXX;XX
6493;XXXX;YYY;FADFBA;XXX;XX
6494;XXXX;KKK;FDSBSDF;XXX;XX
6496;XXXX;ÑÑÑ;DFGN;XXX;XX
6497;XXXX;PPP;SNBGS;XXX;XX
6498;XXXX;QQQ;XXX;XXX;XX
6499;XXXX;XXX;FADFBA;XXX;XX
6500;XXXX;YYY;FDSBSDF;XXX;XX
6503;XXXX;KKK;DFGN;XXX;XX
6504;XXXX;ÑÑÑ;SNBGS;XXX;XX
6506;XXXX;PPP;XXX;XXX;XX
6507;XXXX;QQQ;FADFBA;XXX;XX
6509;XXXX;XXX;FDSBSDF;XXX;XX
6510;XXXX;YYY;DFGN;XXX;XX
6512;XXXX;KKK;SNBGS;XXX;XX
6515;XXXX;ÑÑÑ;XXX;XXX;XX
6520;XXXX;PPP;FADFBA;XXX;XX
6523;XXXX;QQQ;FDSBSDF;XXX;XX
6528;XXXX;XXX;DFGN;XXX;XX
6530;XXXX;YYY;SNBGS;XXX;XX
6532;XXXX;KKK;XXX;XXX;XX
6533;XXXX;ÑÑÑ;FADFBA;XXX;XX
6534;XXXX;PPP;FDSBSDF;XXX;XX
6539;XXXX;QQQ;DFGN;XXX;XX
6541;XXXX;XXX;SNBGS;XXX;XX
6542;XXXX;YYY;XXX;XXX;XX
6545;XXXX;KKK;FADFBA;XXX;XX
6547;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
6549;XXXX;PPP;DFGN;XXX;XX
6550;XXXX;QQQ;SNBGS;XXX;XX
6551;XXXX;XXX;XXX;XXX;XX
6552;XXXX;YYY;FADFBA;XXX;XX
6553;XXXX;KKK;FDSBSDF;XXX;XX
6554;XXXX;ÑÑÑ;DFGN;XXX;XX
6556;XXXX;PPP;SNBGS;XXX;XX
6557;XXXX;QQQ;XXX;XXX;XX
